Date,Open,High,Low,Close,Adj Close,Volume
2020-08-06,6215.0,6295.0,6185.0,6260.0,5739.92333984375,55258500.0
2020-08-07,6265.0,6285.0,6160.0,6180.0,5666.56982421875,43621000.0
2020-08-10,6180.0,6200.0,6105.0,6120.0,5611.5546875,37774500.0
2020-08-11,6140.0,6200.0,6130.0,6175.0,5661.98486328125,38795500.0
2020-08-12,6175.0,6260.0,6160.0,6260.0,5739.92333984375,35612000.0
2020-08-13,6260.0,6300.0,6180.0,6300.0,5776.599609375,48581000.0
2020-08-14,6300.0,6405.0,6240.0,6405.0,5872.876953125,57316000.0
2020-08-18,6405.0,6425.0,6300.0,6360.0,5831.61572265625,81563500.0
2020-08-19,6360.0,6410.0,6310.0,6330.0,5804.107421875,58793500.0
2020-08-24,6340.0,6380.0,6280.0,6315.0,5790.35400390625,66882500.0
2020-08-25,6320.0,6380.0,6305.0,6365.0,5836.19970703125,49211000.0
2020-08-26,6385.0,6390.0,6305.0,6340.0,5813.27685546875,42983000.0
2020-08-27,6365.0,6600.0,6340.0,6600.0,6051.67578125,68326000.0
2020-08-28,6560.0,6600.0,6425.0,6495.0,5955.39990234375,52292500.0
2020-08-31,6500.0,6540.0,6275.0,6275.0,5753.6767578125,97032000.0
2020-09-01,6280.0,6520.0,6240.0,6520.0,5978.322265625,67446000.0
2020-09-02,6520.0,6560.0,6365.0,6435.0,5900.38427734375,66065000.0
2020-09-03,6465.0,6500.0,6300.0,6500.0,5959.98388671875,68208500.0
2020-09-04,6450.0,6450.0,6265.0,6380.0,5849.95361328125,80613500.0
2020-09-07,6335.0,6360.0,6200.0,6285.0,5762.84619140625,64249500.0
2020-09-08,6285.0,6360.0,6285.0,6335.0,5808.6923828125,39649000.0
2020-09-09,6300.0,6320.0,6210.0,6245.0,5726.169921875,49285000.0
2020-09-10,6220.0,6220.0,5810.0,5810.0,5327.30908203125,175735000.0
2020-09-11,5800.0,5975.0,5620.0,5905.0,5414.41650390625,403032500.0
2020-09-14,6000.0,6115.0,5985.0,6050.0,5547.3701171875,138115000.0
2020-09-15,6040.0,6100.0,5860.0,5860.0,5373.154296875,170087000.0
2020-09-16,5860.0,5870.0,5745.0,5750.0,5272.2939453125,158565500.0
2020-09-17,5750.0,5855.0,5665.0,5755.0,5276.8779296875,138796000.0
2020-09-18,5700.0,5735.0,5570.0,5630.0,5162.263671875,316912000.0
2020-09-21,5640.0,5735.0,5595.0,5605.0,5139.3408203125,112443000.0
2020-09-22,5520.0,5565.0,5430.0,5450.0,4997.21728515625,163442500.0
2020-09-23,5450.0,5585.0,5425.0,5505.0,5047.64892578125,100517000.0
2020-09-24,5430.0,5535.0,5390.0,5445.0,4992.63330078125,88618500.0
2020-09-25,5480.0,5625.0,5460.0,5610.0,5143.9248046875,100705000.0
2020-09-28,5650.0,5695.0,5500.0,5515.0,5056.8173828125,93522000.0
2020-09-29,5575.0,5635.0,5460.0,5505.0,5047.64892578125,117778500.0
2020-09-30,5565.0,5565.0,5420.0,5420.0,4969.70947265625,107377000.0
2020-10-01,5485.0,5570.0,5480.0,5570.0,5107.24853515625,56893000.0
2020-10-02,5560.0,5565.0,5440.0,5505.0,5047.64892578125,66848000.0
2020-10-05,5515.0,5560.0,5460.0,5520.0,5061.40283203125,58291000.0
2020-10-06,5630.0,5715.0,5600.0,5700.0,5226.447265625,141955500.0
2020-10-07,5600.0,5755.0,5580.0,5755.0,5276.8779296875,89937500.0
2020-10-08,5790.0,5800.0,5710.0,5780.0,5299.80126953125,77384500.0
2020-10-09,5750.0,5775.0,5720.0,5775.0,5295.216796875,54250500.0
2020-10-12,5840.0,5875.0,5830.0,5855.0,5368.57080078125,82918500.0
2020-10-13,5840.0,5860.0,5770.0,5855.0,5368.57080078125,48250500.0
2020-10-14,5840.0,5900.0,5810.0,5900.0,5409.83203125,83117500.0
2020-10-15,5875.0,5880.0,5760.0,5785.0,5304.38623046875,82067000.0
2020-10-16,5785.0,5790.0,5730.0,5760.0,5281.46240234375,89051500.0
2020-10-19,5750.0,5900.0,5710.0,5900.0,5409.83203125,56871500.0
2020-10-20,5880.0,5880.0,5785.0,5805.0,5322.72412109375,74995500.0
2020-10-21,5860.0,5865.0,5730.0,5780.0,5299.80126953125,77944000.0
2020-10-22,5740.0,5800.0,5705.0,5800.0,5318.13916015625,96872500.0
2020-10-23,5840.0,5840.0,5750.0,5770.0,5290.63232421875,66328000.0
2020-10-26,5725.0,5835.0,5725.0,5815.0,5331.8935546875,70452500.0
2020-10-27,5815.0,5830.0,5755.0,5790.0,5308.97021484375,89482000.0
2020-11-02,5760.0,5825.0,5720.0,5820.0,5336.478515625,151006500.0
2020-11-03,5840.0,5895.0,5835.0,5890.0,5400.66259765625,78152000.0
2020-11-04,5900.0,5940.0,5785.0,5820.0,5336.478515625,78626000.0
2020-11-05,5900.0,6180.0,5900.0,6150.0,5639.0625,161090000.0
2020-11-06,6160.0,6300.0,6060.0,6300.0,5776.599609375,137303500.0
2020-11-09,6300.0,6400.0,6215.0,6285.0,5762.84619140625,82739500.0
2020-11-10,6395.0,6600.0,6380.0,6480.0,5941.6455078125,191073500.0
2020-11-11,6540.0,6565.0,6480.0,6540.0,5996.6611328125,131383500.0
2020-11-12,6410.0,6495.0,6405.0,6420.0,5886.63037109375,83082500.0
2020-11-13,6420.0,6450.0,6320.0,6390.0,5859.123046875,82374500.0
2020-11-16,6485.0,6485.0,6385.0,6480.0,5941.6455078125,54905000.0
2020-11-17,6500.0,6565.0,6490.0,6550.0,6005.83056640625,119784000.0
2020-11-18,6550.0,6575.0,6540.0,6570.0,6024.16943359375,99789000.0
2020-11-19,6520.0,6640.0,6515.0,6615.0,6065.43017578125,147346500.0
2020-11-20,6640.0,6650.0,6550.0,6600.0,6051.67578125,68468500.0
2020-11-23,6600.0,6610.0,6550.0,6600.0,6051.67578125,75265500.0
2020-11-24,6600.0,6600.0,6545.0,6565.0,6019.58447265625,72349500.0
2020-11-25,6580.0,6585.0,6380.0,6410.0,5877.4609375,170140500.0
2020-11-26,6350.0,6490.0,6300.0,6480.0,5941.6455078125,64339000.0
2020-11-27,6480.0,6490.0,6380.0,6385.0,5854.5380859375,87361500.0
2020-11-30,6385.0,6400.0,6135.0,6205.0,5689.49267578125,393091500.0
2020-12-01,6220.0,6435.0,6220.0,6395.0,5863.7080078125,114563500.0
2020-12-02,6460.0,6485.0,6340.0,6450.0,5914.138671875,93897500.0
2020-12-03,6500.0,6525.0,6425.0,6460.0,5923.3076171875,98210000.0
2020-12-04,6460.0,6465.0,6360.0,6390.0,5859.123046875,64995500.0
2020-12-07,6500.0,6580.0,6480.0,6520.0,5978.322265625,96636000.0
2020-12-08,6520.0,6520.0,6425.0,6490.0,5950.8154296875,70561500.0
2020-12-10,6590.0,6600.0,6540.0,6575.0,6047.015625,151420500.0
2020-12-11,6600.0,6780.0,6595.0,6735.0,6194.16796875,214160000.0
2020-12-14,6800.0,6830.0,6795.0,6820.0,6272.34130859375,179785500.0
2020-12-15,6830.0,6900.0,6605.0,6790.0,6244.7509765625,164024500.0
2020-12-16,6860.0,6950.0,6840.0,6950.0,6391.90283203125,138674000.0
2020-12-17,6965.0,7000.0,6820.0,6935.0,6378.1064453125,91920000.0
